,tokens,Sentiment,No Stops,Unicode,Stemmed
206,"[u'The', u'WORST', u'EXPERIENCE', u'EVER']",0,"[u'The', u'WORST', u'EXPERIENCE', u'EVER']","[u'The', u'WORST', u'EXPERIENCE', u'EVER']","[u'the', u'worst', u'experi', u'ever']"
207,"[u'Must', u'have', u'been', u'an', u'off', u'night', u'at', u'this', u'place']",0,"[u'Must', u'night', u'place']","[u'Must', u'night', u'place']","[u'must', u'night', u'place']"
208,"[u'The', u'sides', u'are', u'delish', u'mixed', u'mushrooms', u'yukon', u'gold', u'puree', u'white', u'corn', u'beateous']",1,"[u'The', u'sides', u'delish', u'mixed', u'mushrooms', u'yukon', u'gold', u'puree', u'white', u'corn', u'beateous']","[u'The', u'sides', u'delish', u'mixed', u'mushrooms', u'yukon', u'gold', u'puree', u'white', u'corn', u'beateous']","[u'the', u'side', u'delish', u'mix', u'mushroom', u'yukon', u'gold', u'pure', u'white', u'corn', u'beateou']"
209,"[u'If', u'that', u'bug', u'never', u'showed', u'up', u'I', u'would', u'have', u'given', u'a', u'4', u'for', u'sure', u'but', u'on', u'the', u'other', u'side', u'of', u'the', u'wall', u'where', u'this', u'bug', u'was', u'climbing', u'was', u'the', u'kitchen']",0,"[u'If', u'bug', u'never', u'showed', u'I', u'would', u'given', u'4', u'sure', u'side', u'wall', u'bug', u'climbing', u'kitchen']","[u'If', u'bug', u'never', u'showed', u'I', u'would', u'given', u'4', u'sure', u'side', u'wall', u'bug', u'climbing', u'kitchen']","[u'If', u'bug', u'never', u'show', u'I', u'would', u'given', u'4', u'sure', u'side', u'wall', u'bug', u'climb', u'kitchen']"
210,"[u'For', u'about', u'10', u'minutes', u'we', u'we', u're', u'waiting', u'for', u'her', u'salad', u'when', u'we', u'realized', u'that', u'it', u'wasn', u't', u'coming', u'any', u'time', u'soon']",0,"[u'For', u'10', u'minutes', u'waiting', u'salad', u'realized', u'coming', u'time', u'soon']","[u'For', u'10', u'minutes', u'waiting', u'salad', u'realized', u'coming', u'time', u'soon']","[u'for', u'10', u'minut', u'wait', u'salad', u'realiz', u'come', u'time', u'soon']"
211,"[u'My', u'friend', u'loved', u'the', u'salmon', u'tartar']",1,"[u'My', u'friend', u'loved', u'salmon', u'tartar']","[u'My', u'friend', u'loved', u'salmon', u'tartar']","[u'My', u'friend', u'love', u'salmon', u'tartar']"
212,"[u'Won', u't', u'go', u'back']",0,"[u'Won', u'go', u'back']","[u'Won', u'go', u'back']","[u'won', u'go', u'back']"
213,"[u'Extremely', u'Tasty']",1,"[u'Extremely', u'Tasty']","[u'Extremely', u'Tasty']","[u'extrem', u'tasti']"
214,"[u'Waitress', u'was', u'good', u'though']",1,"[u'Waitress', u'good', u'though']","[u'Waitress', u'good', u'though']","[u'waitress', u'good', u'though']"
215,"[u'Soggy', u'and', u'not', u'good']",0,"[u'Soggy', u'good']","[u'Soggy', u'good']","[u'soggi', u'good']"
216,"[u'The', u'Jamaican', u'mojitos', u'are', u'delicious']",1,"[u'The', u'Jamaican', u'mojitos', u'delicious']","[u'The', u'Jamaican', u'mojitos', u'delicious']","[u'the', u'jamaican', u'mojito', u'delici']"
217,"[u'Which', u'are', u'small', u'and', u'not', u'worth', u'the', u'price']",0,"[u'Which', u'small', u'worth', u'price']","[u'Which', u'small', u'worth', u'price']","[u'which', u'small', u'worth', u'price']"
218,"[u'the', u'food', u'is', u'rich', u'so', u'order', u'accordingly']",1,"[u'food', u'rich', u'order', u'accordingly']","[u'food', u'rich', u'order', u'accordingly']","[u'food', u'rich', u'order', u'accordingli']"
219,"[u'The', u'shower', u'area', u'is', u'outside', u'so', u'you', u'can', u'only', u'rinse', u'not', u'take', u'a', u'full', u'shower', u'unless', u'you', u'don', u't', u'mind', u'being', u'nude', u'for', u'everyone', u'to', u'see']",0,"[u'The', u'shower', u'area', u'outside', u'rinse', u'take', u'full', u'shower', u'unless', u'mind', u'nude', u'everyone', u'see']","[u'The', u'shower', u'area', u'outside', u'rinse', u'take', u'full', u'shower', u'unless', u'mind', u'nude', u'everyone', u'see']","[u'the', u'shower', u'area', u'outsid', u'rins', u'take', u'full', u'shower', u'unless', u'mind', u'nude', u'everyon', u'see']"
220,"[u'The', u'service', u'was', u'a', u'bit', u'lacking']",0,"[u'The', u'service', u'bit', u'lacking']","[u'The', u'service', u'bit', u'lacking']","[u'the', u'servic', u'bit', u'lack']"
221,"[u'Lobster', u'Bisque', u'Bussell', u'Sprouts', u'Risotto', u'Filet', u'ALL', u'needed', u'salt', u'and', u'pepper', u'and', u'of', u'course', u'there', u'is', u'none', u'at', u'the', u'tables']",0,"[u'Lobster', u'Bisque', u'Bussell', u'Sprouts', u'Risotto', u'Filet', u'ALL', u'needed', u'salt', u'pepper', u'course', u'none', u'tables']","[u'Lobster', u'Bisque', u'Bussell', u'Sprouts', u'Risotto', u'Filet', u'ALL', u'needed', u'salt', u'pepper', u'course', u'none', u'tables']","[u'lobster', u'bisqu', u'bussel', u'sprout', u'risotto', u'filet', u'all', u'need', u'salt', u'pepper', u'cours', u'none', u'tabl']"
222,"[u'Hopefully', u'this', u'bodes', u'for', u'them', u'going', u'out', u'of', u'business', u'and', u'someone', u'who', u'can', u'cook', u'can', u'come', u'in']",0,"[u'Hopefully', u'bodes', u'going', u'business', u'someone', u'cook', u'come']","[u'Hopefully', u'bodes', u'going', u'business', u'someone', u'cook', u'come']","[u'hope', u'bode', u'go', u'busi', u'someon', u'cook', u'come']"
223,"[u'It', u'was', u'either', u'too', u'cold', u'not', u'enough', u'flavor', u'or', u'just', u'bad']",0,"[u'It', u'either', u'cold', u'enough', u'flavor', u'bad']","[u'It', u'either', u'cold', u'enough', u'flavor', u'bad']","[u'It', u'either', u'cold', u'enough', u'flavor', u'bad']"
224,"[u'I', u'loved', u'the', u'bacon', u'wrapped', u'dates']",1,"[u'I', u'loved', u'bacon', u'wrapped', u'dates']","[u'I', u'loved', u'bacon', u'wrapped', u'dates']","[u'I', u'love', u'bacon', u'wrap', u'date']"
225,"[u'This', u'is', u'an', u'unbelievable', u'BARGAIN']",1,"[u'This', u'unbelievable', u'BARGAIN']","[u'This', u'unbelievable', u'BARGAIN']","[u'thi', u'unbeliev', u'bargain']"
226,"[u'The', u'folks', u'at', u'Otto', u'always', u'make', u'us', u'feel', u'so', u'welcome', u'and', u'special']",1,"[u'The', u'folks', u'Otto', u'always', u'make', u'us', u'feel', u'welcome', u'special']","[u'The', u'folks', u'Otto', u'always', u'make', u'us', u'feel', u'welcome', u'special']","[u'the', u'folk', u'otto', u'alway', u'make', u'us', u'feel', u'welcom', u'special']"
227,"[u'As', u'for', u'the', u'mains', u'also', u'uninspired']",0,"[u'As', u'mains', u'also', u'uninspired']","[u'As', u'mains', u'also', u'uninspired']","[u'As', u'main', u'also', u'uninspir']"
228,"[u'This', u'is', u'the', u'place', u'where', u'I', u'first', u'had', u'pho', u'and', u'it', u'was', u'amazing']",1,"[u'This', u'place', u'I', u'first', u'pho', u'amazing']","[u'This', u'place', u'I', u'first', u'pho', u'amazing']","[u'thi', u'place', u'I', u'first', u'pho', u'amaz']"
229,"[u'This', u'wonderful', u'experience', u'made', u'this', u'place', u'a', u'must', u'stop', u'whenever', u'we', u'are', u'in', u'town', u'again']",1,"[u'This', u'wonderful', u'experience', u'made', u'place', u'must', u'stop', u'whenever', u'town']","[u'This', u'wonderful', u'experience', u'made', u'place', u'must', u'stop', u'whenever', u'town']","[u'thi', u'wonder', u'experi', u'made', u'place', u'must', u'stop', u'whenev', u'town']"
230,"[u'If', u'the', u'food', u'isn', u't', u'bad', u'enough', u'for', u'you', u'then', u'enjoy', u'dealing', u'with', u'the', u'world', u's', u'worst', u'annoying', u'drunk', u'people']",0,"[u'If', u'food', u'bad', u'enough', u'enjoy', u'dealing', u'world', u'worst', u'annoying', u'drunk', u'people']","[u'If', u'food', u'bad', u'enough', u'enjoy', u'dealing', u'world', u'worst', u'annoying', u'drunk', u'people']","[u'If', u'food', u'bad', u'enough', u'enjoy', u'deal', u'world', u'worst', u'annoy', u'drunk', u'peopl']"
231,"[u'Very', u'very', u'fun', u'chef']",1,"[u'Very', u'fun', u'chef']","[u'Very', u'fun', u'chef']","[u'veri', u'fun', u'chef']"
232,"[u'Ordered', u'a', u'double', u'cheeseburger', u'got', u'a', u'single', u'patty', u'that', u'was', u'falling', u'apart', u'picture', u'uploaded', u'Yeah', u'still', u'sucks']",0,"[u'Ordered', u'double', u'cheeseburger', u'got', u'single', u'patty', u'falling', u'apart', u'picture', u'uploaded', u'Yeah', u'still', u'sucks']","[u'Ordered', u'double', u'cheeseburger', u'got', u'single', u'patty', u'falling', u'apart', u'picture', u'uploaded', u'Yeah', u'still', u'sucks']","[u'order', u'doubl', u'cheeseburg', u'got', u'singl', u'patti', u'fall', u'apart', u'pictur', u'upload', u'yeah', u'still', u'suck']"
233,"[u'Great', u'place', u'to', u'have', u'a', u'couple', u'drinks', u'and', u'watch', u'any', u'and', u'all', u'sporting', u'events', u'as', u'the', u'walls', u'are', u'covered', u'with', u'TV', u's']",1,"[u'Great', u'place', u'couple', u'drinks', u'watch', u'sporting', u'events', u'walls', u'covered', u'TV']","[u'Great', u'place', u'couple', u'drinks', u'watch', u'sporting', u'events', u'walls', u'covered', u'TV']","[u'great', u'place', u'coupl', u'drink', u'watch', u'sport', u'event', u'wall', u'cover', u'TV']"
234,"[u'If', u'it', u'were', u'possible', u'to', u'give', u'them', u'zero', u'stars', u'they', u'd', u'have', u'it']",0,"[u'If', u'possible', u'give', u'zero', u'stars']","[u'If', u'possible', u'give', u'zero', u'stars']","[u'If', u'possibl', u'give', u'zero', u'star']"
235,"[u'The', u'descriptions', u'said', u'yum', u'yum', u'sauce', u'and', u'another', u'said', u'eel', u'sauce', u'yet', u'another', u'said', u'spicy', u'mayo', u'well', u'NONE', u'of', u'the', u'rolls', u'had', u'sauces', u'on', u'them']",0,"[u'The', u'descriptions', u'said', u'yum', u'yum', u'sauce', u'another', u'said', u'eel', u'sauce', u'yet', u'another', u'said', u'spicy', u'mayo', u'well', u'NONE', u'rolls', u'sauces']","[u'The', u'descriptions', u'said', u'yum', u'yum', u'sauce', u'another', u'said', u'eel', u'sauce', u'yet', u'another', u'said', u'spicy', u'mayo', u'well', u'NONE', u'rolls', u'sauces']","[u'the', u'descript', u'said', u'yum', u'yum', u'sauc', u'anoth', u'said', u'eel', u'sauc', u'yet', u'anoth', u'said', u'spici', u'mayo', u'well', u'none', u'roll', u'sauc']"
236,"[u'I', u'd', u'say', u'that', u'would', u'be', u'the', u'hardest', u'decision', u'Honestly', u'all', u'of', u'M', u's', u'dishes', u'taste', u'how', u'they', u'are', u'supposed', u'to', u'taste', u'amazing']",1,"[u'I', u'say', u'would', u'hardest', u'decision', u'Honestly', u'M', u'dishes', u'taste', u'supposed', u'taste', u'amazing']","[u'I', u'say', u'would', u'hardest', u'decision', u'Honestly', u'M', u'dishes', u'taste', u'supposed', u'taste', u'amazing']","[u'I', u'say', u'would', u'hardest', u'decis', u'honestli', u'M', u'dish', u'tast', u'suppos', u'tast', u'amaz']"
237,"[u'If', u'she', u'had', u'not', u'rolled', u'the', u'eyes', u'we', u'may', u'have', u'stayed', u'Not', u'sure', u'if', u'we', u'will', u'go', u'back', u'and', u'try', u'it', u'again']",0,"[u'If', u'rolled', u'eyes', u'may', u'stayed', u'Not', u'sure', u'go', u'back', u'try']","[u'If', u'rolled', u'eyes', u'may', u'stayed', u'Not', u'sure', u'go', u'back', u'try']","[u'If', u'roll', u'eye', u'may', u'stay', u'not', u'sure', u'go', u'back', u'tri']"
238,"[u'Everyone', u'is', u'very', u'attentive', u'providing', u'excellent', u'customer', u'service']",1,"[u'Everyone', u'attentive', u'providing', u'excellent', u'customer', u'service']","[u'Everyone', u'attentive', u'providing', u'excellent', u'customer', u'service']","[u'everyon', u'attent', u'provid', u'excel', u'custom', u'servic']"
239,"[u'Horrible', u'don', u't', u'waste', u'your', u'time', u'and', u'money']",0,"[u'Horrible', u'waste', u'time', u'money']","[u'Horrible', u'waste', u'time', u'money']","[u'horribl', u'wast', u'time', u'money']"
240,"[u'Now', u'this', u'dish', u'was', u'quite', u'flavourful']",1,"[u'Now', u'dish', u'quite', u'flavourful']","[u'Now', u'dish', u'quite', u'flavourful']","[u'now', u'dish', u'quit', u'flavour']"
241,"[u'By', u'this', u'time', u'our', u'side', u'of', u'the', u'restaurant', u'was', u'almost', u'empty', u'so', u'there', u'was', u'no', u'excuse']",0,"[u'By', u'time', u'side', u'restaurant', u'almost', u'empty', u'excuse']","[u'By', u'time', u'side', u'restaurant', u'almost', u'empty', u'excuse']","[u'By', u'time', u'side', u'restaur', u'almost', u'empti', u'excus']"
242,"[u'It', u'wasn', u't', u'busy', u'either', u'Also', u'the', u'building', u'was', u'FREEZING', u'cold']",0,"[u'It', u'busy', u'either', u'Also', u'building', u'FREEZING', u'cold']","[u'It', u'busy', u'either', u'Also', u'building', u'FREEZING', u'cold']","[u'It', u'busi', u'either', u'also', u'build', u'freez', u'cold']"
243,"[u'like', u'the', u'other', u'reviewer', u'said', u'you', u'couldn', u't', u'pay', u'me', u'to', u'eat', u'at', u'this', u'place', u'again']",0,"[u'like', u'reviewer', u'said', u'pay', u'eat', u'place']","[u'like', u'reviewer', u'said', u'pay', u'eat', u'place']","[u'like', u'review', u'said', u'pay', u'eat', u'place']"
244,"[u'Drinks', u'took', u'close', u'to', u'30', u'minutes', u'to', u'come', u'out', u'at', u'one', u'point']",0,"[u'Drinks', u'took', u'close', u'30', u'minutes', u'come', u'one', u'point']","[u'Drinks', u'took', u'close', u'30', u'minutes', u'come', u'one', u'point']","[u'drink', u'took', u'close', u'30', u'minut', u'come', u'one', u'point']"
245,"[u'Seriously', u'flavorful', u'delights', u'folks']",1,"[u'Seriously', u'flavorful', u'delights', u'folks']","[u'Seriously', u'flavorful', u'delights', u'folks']","[u'serious', u'flavor', u'delight', u'folk']"
246,"[u'Much', u'better', u'than', u'the', u'other', u'AYCE', u'sushi', u'place', u'I', u'went', u'to', u'in', u'Vegas']",1,"[u'Much', u'better', u'AYCE', u'sushi', u'place', u'I', u'went', u'Vegas']","[u'Much', u'better', u'AYCE', u'sushi', u'place', u'I', u'went', u'Vegas']","[u'much', u'better', u'ayc', u'sushi', u'place', u'I', u'went', u'vega']"
247,"[u'The', u'lighting', u'is', u'just', u'dark', u'enough', u'to', u'set', u'the', u'mood']",1,"[u'The', u'lighting', u'dark', u'enough', u'set', u'mood']","[u'The', u'lighting', u'dark', u'enough', u'set', u'mood']","[u'the', u'light', u'dark', u'enough', u'set', u'mood']"
248,"[u'Based', u'on', u'the', u'sub', u'par', u'service', u'I', u'received', u'and', u'no', u'effort', u'to', u'show', u'their', u'gratitude', u'for', u'my', u'business', u'I', u'won', u't', u'be', u'going', u'back']",0,"[u'Based', u'sub', u'par', u'service', u'I', u'received', u'effort', u'show', u'gratitude', u'business', u'I', u'going', u'back']","[u'Based', u'sub', u'par', u'service', u'I', u'received', u'effort', u'show', u'gratitude', u'business', u'I', u'going', u'back']","[u'base', u'sub', u'par', u'servic', u'I', u'receiv', u'effort', u'show', u'gratitud', u'busi', u'I', u'go', u'back']"
249,"[u'Owner', u's', u'are', u'really', u'great', u'people']",1,"[u'Owner', u'really', u'great', u'people']","[u'Owner', u'really', u'great', u'people']","[u'owner', u'realli', u'great', u'peopl']"
250,"[u'There', u'is', u'nothing', u'privileged', u'about', u'working', u'eating', u'there']",0,"[u'There', u'nothing', u'privileged', u'working', u'eating']","[u'There', u'nothing', u'privileged', u'working', u'eating']","[u'there', u'noth', u'privileg', u'work', u'eat']"
251,"[u'The', u'Greek', u'dressing', u'was', u'very', u'creamy', u'and', u'flavorful']",1,"[u'The', u'Greek', u'dressing', u'creamy', u'flavorful']","[u'The', u'Greek', u'dressing', u'creamy', u'flavorful']","[u'the', u'greek', u'dress', u'creami', u'flavor']"
252,"[u'Overall', u'I', u'don', u't', u'think', u'that', u'I', u'would', u'take', u'my', u'parents', u'to', u'this', u'place', u'again', u'because', u'they', u'made', u'most', u'of', u'the', u'similar', u'complaints', u'that', u'I', u'silently', u'felt', u'too']",0,"[u'Overall', u'I', u'think', u'I', u'would', u'take', u'parents', u'place', u'made', u'similar', u'complaints', u'I', u'silently', u'felt']","[u'Overall', u'I', u'think', u'I', u'would', u'take', u'parents', u'place', u'made', u'similar', u'complaints', u'I', u'silently', u'felt']","[u'overal', u'I', u'think', u'I', u'would', u'take', u'parent', u'place', u'made', u'similar', u'complaint', u'I', u'silent', u'felt']"
253,"[u'Now', u'the', u'pizza', u'itself', u'was', u'good', u'the', u'peanut', u'sauce', u'was', u'very', u'tasty']",1,"[u'Now', u'pizza', u'good', u'peanut', u'sauce', u'tasty']","[u'Now', u'pizza', u'good', u'peanut', u'sauce', u'tasty']","[u'now', u'pizza', u'good', u'peanut', u'sauc', u'tasti']"
254,"[u'We', u'had', u'7', u'at', u'our', u'table', u'and', u'the', u'service', u'was', u'pretty', u'fast']",1,"[u'We', u'7', u'table', u'service', u'pretty', u'fast']","[u'We', u'7', u'table', u'service', u'pretty', u'fast']","[u'We', u'7', u'tabl', u'servic', u'pretti', u'fast']"
255,"[u'Fantastic', u'service', u'here']",1,"[u'Fantastic', u'service']","[u'Fantastic', u'service']","[u'fantast', u'servic']"
256,"[u'I', u'as', u'well', u'would', u've', u'given', u'godfathers', u'zero', u'stars', u'if', u'possible']",0,"[u'I', u'well', u'would', u'given', u'godfathers', u'zero', u'stars', u'possible']","[u'I', u'well', u'would', u'given', u'godfathers', u'zero', u'stars', u'possible']","[u'I', u'well', u'would', u'given', u'godfath', u'zero', u'star', u'possibl']"
257,"[u'They', u'know', u'how', u'to', u'make', u'them', u'here']",1,"[u'They', u'know', u'make']","[u'They', u'know', u'make']","[u'they', u'know', u'make']"
258,"[u'very', u'tough', u'and', u'very', u'short', u'on', u'flavor']",0,"[u'tough', u'short', u'flavor']","[u'tough', u'short', u'flavor']","[u'tough', u'short', u'flavor']"
259,"[u'I', u'hope', u'this', u'place', u'sticks', u'around']",1,"[u'I', u'hope', u'place', u'sticks', u'around']","[u'I', u'hope', u'place', u'sticks', u'around']","[u'I', u'hope', u'place', u'stick', u'around']"
260,"[u'I', u'have', u'been', u'in', u'more', u'than', u'a', u'few', u'bars', u'in', u'Vegas', u'and', u'do', u'not', u'ever', u'recall', u'being', u'charged', u'for', u'tap', u'water']",0,"[u'I', u'bars', u'Vegas', u'ever', u'recall', u'charged', u'tap', u'water']","[u'I', u'bars', u'Vegas', u'ever', u'recall', u'charged', u'tap', u'water']","[u'I', u'bar', u'vega', u'ever', u'recal', u'charg', u'tap', u'water']"
261,"[u'The', u'restaurant', u'atmosphere', u'was', u'exquisite']",1,"[u'The', u'restaurant', u'atmosphere', u'exquisite']","[u'The', u'restaurant', u'atmosphere', u'exquisite']","[u'the', u'restaur', u'atmospher', u'exquisit']"
262,"[u'Good', u'service', u'very', u'clean', u'and', u'inexpensive', u'to', u'boot']",1,"[u'Good', u'service', u'clean', u'inexpensive', u'boot']","[u'Good', u'service', u'clean', u'inexpensive', u'boot']","[u'good', u'servic', u'clean', u'inexpens', u'boot']"
263,"[u'The', u'seafood', u'was', u'fresh', u'and', u'generous', u'in', u'portion']",1,"[u'The', u'seafood', u'fresh', u'generous', u'portion']","[u'The', u'seafood', u'fresh', u'generous', u'portion']","[u'the', u'seafood', u'fresh', u'gener', u'portion']"
264,"[u'Plus', u'it', u's', u'only', u'8', u'bucks']",1,"[u'Plus', u'8', u'bucks']","[u'Plus', u'8', u'bucks']","[u'plu', u'8', u'buck']"
265,"[u'The', u'service', u'was', u'not', u'up', u'to', u'par', u'either']",0,"[u'The', u'service', u'par', u'either']","[u'The', u'service', u'par', u'either']","[u'the', u'servic', u'par', u'either']"
266,"[u'Thus', u'far', u'have', u'only', u'visited', u'twice', u'and', u'the', u'food', u'was', u'absolutely', u'delicious', u'each', u'time']",1,"[u'Thus', u'far', u'visited', u'twice', u'food', u'absolutely', u'delicious', u'time']","[u'Thus', u'far', u'visited', u'twice', u'food', u'absolutely', u'delicious', u'time']","[u'thu', u'far', u'visit', u'twice', u'food', u'absolut', u'delici', u'time']"
267,"[u'Just', u'as', u'good', u'as', u'when', u'I', u'had', u'it', u'more', u'than', u'a', u'year', u'ago']",1,"[u'Just', u'good', u'I', u'year', u'ago']","[u'Just', u'good', u'I', u'year', u'ago']","[u'just', u'good', u'I', u'year', u'ago']"
268,"[u'For', u'a', u'self', u'proclaimed', u'coffee', u'cafe', u'I', u'was', u'wildly', u'disappointed']",0,"[u'For', u'self', u'proclaimed', u'coffee', u'cafe', u'I', u'wildly', u'disappointed']","[u'For', u'self', u'proclaimed', u'coffee', u'cafe', u'I', u'wildly', u'disappointed']","[u'for', u'self', u'proclaim', u'coffe', u'cafe', u'I', u'wildli', u'disappoint']"
269,"[u'The', u'Veggitarian', u'platter', u'is', u'out', u'of', u'this', u'world']",1,"[u'The', u'Veggitarian', u'platter', u'world']","[u'The', u'Veggitarian', u'platter', u'world']","[u'the', u'veggitarian', u'platter', u'world']"
270,"[u'You', u'cant', u'go', u'wrong', u'with', u'any', u'of', u'the', u'food', u'here']",1,"[u'You', u'cant', u'go', u'wrong', u'food']","[u'You', u'cant', u'go', u'wrong', u'food']","[u'you', u'cant', u'go', u'wrong', u'food']"
271,"[u'You', u'can', u't', u'beat', u'that']",1,"[u'You', u'beat']","[u'You', u'beat']","[u'you', u'beat']"
272,"[u'Stopped', u'by', u'this', u'place', u'while', u'in', u'Madison', u'for', u'the', u'Ironman', u'very', u'friendly', u'kind', u'staff']",1,"[u'Stopped', u'place', u'Madison', u'Ironman', u'friendly', u'kind', u'staff']","[u'Stopped', u'place', u'Madison', u'Ironman', u'friendly', u'kind', u'staff']","[u'stop', u'place', u'madison', u'ironman', u'friendli', u'kind', u'staff']"
273,"[u'The', u'chefs', u'were', u'friendly', u'and', u'did', u'a', u'good', u'job']",1,"[u'The', u'chefs', u'friendly', u'good', u'job']","[u'The', u'chefs', u'friendly', u'good', u'job']","[u'the', u'chef', u'friendli', u'good', u'job']"
274,"[u'I', u've', u'had', u'better', u'not', u'only', u'from', u'dedicated', u'boba', u'tea', u'spots', u'but', u'even', u'from', u'Jenni', u'Pho']",0,"[u'I', u'better', u'dedicated', u'boba', u'tea', u'spots', u'even', u'Jenni', u'Pho']","[u'I', u'better', u'dedicated', u'boba', u'tea', u'spots', u'even', u'Jenni', u'Pho']","[u'I', u'better', u'dedic', u'boba', u'tea', u'spot', u'even', u'jenni', u'pho']"
275,"[u'I', u'liked', u'the', u'patio', u'and', u'the', u'service', u'was', u'outstanding']",1,"[u'I', u'liked', u'patio', u'service', u'outstanding']","[u'I', u'liked', u'patio', u'service', u'outstanding']","[u'I', u'like', u'patio', u'servic', u'outstand']"
276,"[u'The', u'goat', u'taco', u'didn', u't', u'skimp', u'on', u'the', u'meat', u'and', u'wow', u'what', u'FLAVOR']",1,"[u'The', u'goat', u'taco', u'skimp', u'meat', u'wow', u'FLAVOR']","[u'The', u'goat', u'taco', u'skimp', u'meat', u'wow', u'FLAVOR']","[u'the', u'goat', u'taco', u'skimp', u'meat', u'wow', u'flavor']"
277,"[u'I', u'think', u'not', u'again']",0,"[u'I', u'think']","[u'I', u'think']","[u'I', u'think']"
278,"[u'I', u'had', u'the', u'mac', u'salad', u'and', u'it', u'was', u'pretty', u'bland', u'so', u'I', u'will', u'not', u'be', u'getting', u'that', u'again']",0,"[u'I', u'mac', u'salad', u'pretty', u'bland', u'I', u'getting']","[u'I', u'mac', u'salad', u'pretty', u'bland', u'I', u'getting']","[u'I', u'mac', u'salad', u'pretti', u'bland', u'I', u'get']"
279,"[u'I', u'went', u'to', u'Bachi', u'Burger', u'on', u'a', u'friend', u's', u'recommendation', u'and', u'was', u'not', u'disappointed']",1,"[u'I', u'went', u'Bachi', u'Burger', u'friend', u'recommendation', u'disappointed']","[u'I', u'went', u'Bachi', u'Burger', u'friend', u'recommendation', u'disappointed']","[u'I', u'went', u'bachi', u'burger', u'friend', u'recommend', u'disappoint']"
280,"[u'Service', u'stinks', u'here']",0,"[u'Service', u'stinks']","[u'Service', u'stinks']","[u'servic', u'stink']"
281,"[u'I', u'waited', u'and', u'waited']",0,"[u'I', u'waited', u'waited']","[u'I', u'waited', u'waited']","[u'I', u'wait', u'wait']"
282,"[u'This', u'place', u'is', u'not', u'quality', u'sushi', u'it', u'is', u'not', u'a', u'quality', u'restaurant']",0,"[u'This', u'place', u'quality', u'sushi', u'quality', u'restaurant']","[u'This', u'place', u'quality', u'sushi', u'quality', u'restaurant']","[u'thi', u'place', u'qualiti', u'sushi', u'qualiti', u'restaur']"
283,"[u'I', u'would', u'definitely', u'recommend', u'the', u'wings', u'as', u'well', u'as', u'the', u'pizza']",1,"[u'I', u'would', u'definitely', u'recommend', u'wings', u'well', u'pizza']","[u'I', u'would', u'definitely', u'recommend', u'wings', u'well', u'pizza']","[u'I', u'would', u'definit', u'recommend', u'wing', u'well', u'pizza']"
284,"[u'Great', u'Pizza', u'and', u'Salads']",1,"[u'Great', u'Pizza', u'Salads']","[u'Great', u'Pizza', u'Salads']","[u'great', u'pizza', u'salad']"
285,"[u'Things', u'that', u'went', u'wrong', u'They', u'burned', u'the', u'saganaki']",0,"[u'Things', u'went', u'wrong', u'They', u'burned', u'saganaki']","[u'Things', u'went', u'wrong', u'They', u'burned', u'saganaki']","[u'thing', u'went', u'wrong', u'they', u'burn', u'saganaki']"
286,"[u'We', u'waited', u'an', u'hour', u'for', u'what', u'was', u'a', u'breakfast', u'I', u'could', u'have', u'done', u'100', u'times', u'better', u'at', u'home']",0,"[u'We', u'waited', u'hour', u'breakfast', u'I', u'could', u'done', u'100', u'times', u'better', u'home']","[u'We', u'waited', u'hour', u'breakfast', u'I', u'could', u'done', u'100', u'times', u'better', u'home']","[u'We', u'wait', u'hour', u'breakfast', u'I', u'could', u'done', u'100', u'time', u'better', u'home']"
287,"[u'This', u'place', u'is', u'amazing']",1,"[u'This', u'place', u'amazing']","[u'This', u'place', u'amazing']","[u'thi', u'place', u'amaz']"
288,"[u'I', u'hate', u'to', u'disagree', u'with', u'my', u'fellow', u'Yelpers', u'but', u'my', u'husband', u'and', u'I', u'were', u'so', u'disappointed', u'with', u'this', u'place']",0,"[u'I', u'hate', u'disagree', u'fellow', u'Yelpers', u'husband', u'I', u'disappointed', u'place']","[u'I', u'hate', u'disagree', u'fellow', u'Yelpers', u'husband', u'I', u'disappointed', u'place']","[u'I', u'hate', u'disagre', u'fellow', u'yelper', u'husband', u'I', u'disappoint', u'place']"
289,"[u'Waited', u'2', u'hours', u'never', u'got', u'either', u'of', u'our', u'pizzas', u'as', u'many', u'other', u'around', u'us', u'who', u'came', u'in', u'later', u'did']",0,"[u'Waited', u'2', u'hours', u'never', u'got', u'either', u'pizzas', u'many', u'around', u'us', u'came', u'later']","[u'Waited', u'2', u'hours', u'never', u'got', u'either', u'pizzas', u'many', u'around', u'us', u'came', u'later']","[u'wait', u'2', u'hour', u'never', u'got', u'either', u'pizza', u'mani', u'around', u'us', u'came', u'later']"
290,"[u'Just', u'don', u't', u'know', u'why', u'they', u'were', u'so', u'slow']",0,"[u'Just', u'know', u'slow']","[u'Just', u'know', u'slow']","[u'just', u'know', u'slow']"
291,"[u'The', u'staff', u'is', u'great', u'the', u'food', u'is', u'delish', u'and', u'they', u'have', u'an', u'incredible', u'beer', u'selection']",1,"[u'The', u'staff', u'great', u'food', u'delish', u'incredible', u'beer', u'selection']","[u'The', u'staff', u'great', u'food', u'delish', u'incredible', u'beer', u'selection']","[u'the', u'staff', u'great', u'food', u'delish', u'incred', u'beer', u'select']"
