,tokens,Sentiment,No Stops
143,"[u'Nice', u'blanket', u'of', u'moz', u'over', u'top', u'but', u'i', u'feel', u'like', u'this', u'was', u'done', u'to', u'cover', u'up', u'the', u'subpar', u'food']",1,"[u'Nice', u'blanket', u'moz', u'top', u'feel', u'like', u'done', u'cover', u'subpar', u'food']"
144,"[u'The', u'bathrooms', u'are', u'clean', u'and', u'the', u'place', u'itself', u'is', u'well', u'decorated']",1,"[u'The', u'bathrooms', u'clean', u'place', u'well', u'decorated']"
145,"[u'The', u'menu', u'is', u'always', u'changing', u'food', u'quality', u'is', u'going', u'down', u'service', u'is', u'extremely', u'slow']",0,"[u'The', u'menu', u'always', u'changing', u'food', u'quality', u'going', u'service', u'extremely', u'slow']"
146,"[u'The', u'service', u'was', u'a', u'little', u'slow', u'considering', u'that', u'were', u'served', u'by', u'3', u'people', u'servers', u'so', u'the', u'food', u'was', u'coming', u'in', u'a', u'slow', u'pace']",0,"[u'The', u'service', u'little', u'slow', u'considering', u'served', u'3', u'people', u'servers', u'food', u'coming', u'slow', u'pace']"
147,"[u'I', u'give', u'it', u'2', u'thumbs', u'down']",0,"[u'I', u'give', u'2', u'thumbs']"
148,"[u'We', u'watched', u'our', u'waiter', u'pay', u'a', u'lot', u'more', u'attention', u'to', u'other', u'tables', u'and', u'ignore', u'us']",0,"[u'We', u'watched', u'waiter', u'pay', u'lot', u'attention', u'tables', u'ignore', u'us']"
149,"[u'My', u'fianc', u'and', u'I', u'came', u'in', u'the', u'middle', u'of', u'the', u'day', u'and', u'we', u'were', u'greeted', u'and', u'seated', u'right', u'away']",1,"[u'My', u'fianc', u'I', u'came', u'middle', u'day', u'greeted', u'seated', u'right', u'away']"
150,"[u'This', u'is', u'a', u'great', u'restaurant', u'at', u'the', u'Mandalay', u'Bay']",1,"[u'This', u'great', u'restaurant', u'Mandalay', u'Bay']"
151,"[u'We', u'waited', u'for', u'forty', u'five', u'minutes', u'in', u'vain']",0,"[u'We', u'waited', u'forty', u'five', u'minutes', u'vain']"
152,"[u'Crostini', u'that', u'came', u'with', u'the', u'salad', u'was', u'stale']",0,"[u'Crostini', u'came', u'salad', u'stale']"
153,"[u'Some', u'highlights', u'Great', u'quality', u'nigiri', u'here']",1,"[u'Some', u'highlights', u'Great', u'quality', u'nigiri']"
154,"[u'the', u'staff', u'is', u'friendly', u'and', u'the', u'joint', u'is', u'always', u'clean']",1,"[u'staff', u'friendly', u'joint', u'always', u'clean']"
155,"[u'this', u'was', u'a', u'different', u'cut', u'than', u'the', u'piece', u'the', u'other', u'day', u'but', u'still', u'wonderful', u'and', u'tender', u's', u'well', u'as', u'well', u'flavored']",1,"[u'different', u'cut', u'piece', u'day', u'still', u'wonderful', u'tender', u'well', u'well', u'flavored']"
156,"[u'I', u'ordered', u'the', u'Voodoo', u'pasta', u'and', u'it', u'was', u'the', u'first', u'time', u'I', u'd', u'had', u'really', u'excellent', u'pasta', u'since', u'going', u'gluten', u'free', u'several', u'years', u'ago']",1,"[u'I', u'ordered', u'Voodoo', u'pasta', u'first', u'time', u'I', u'really', u'excellent', u'pasta', u'since', u'going', u'gluten', u'free', u'several', u'years', u'ago']"
157,"[u'this', u'place', u'is', u'good']",1,"[u'place', u'good']"
158,"[u'Unfortunately', u'we', u'must', u'have', u'hit', u'the', u'bakery', u'on', u'leftover', u'day', u'because', u'everything', u'we', u'ordered', u'was', u'STALE']",0,"[u'Unfortunately', u'must', u'hit', u'bakery', u'leftover', u'day', u'everything', u'ordered', u'STALE']"
159,"[u'I', u'came', u'back', u'today', u'since', u'they', u'relocated', u'and', u'still', u'not', u'impressed']",0,"[u'I', u'came', u'back', u'today', u'since', u'relocated', u'still', u'impressed']"
160,"[u'I', u'was', u'seated', u'immediately']",1,"[u'I', u'seated', u'immediately']"
161,"[u'Their', u'menu', u'is', u'diverse', u'and', u'reasonably', u'priced']",1,"[u'Their', u'menu', u'diverse', u'reasonably', u'priced']"
162,"[u'Avoid', u'at', u'all', u'cost']",0,"[u'Avoid', u'cost']"
163,"[u'Restaurant', u'is', u'always', u'full', u'but', u'never', u'a', u'wait']",1,"[u'Restaurant', u'always', u'full', u'never', u'wait']"
164,[u'DELICIOUS'],1,[u'DELICIOUS']
165,"[u'This', u'place', u'is', u'hands', u'down', u'one', u'of', u'the', u'best', u'places', u'to', u'eat', u'in', u'the', u'Phoenix', u'metro', u'area']",1,"[u'This', u'place', u'hands', u'one', u'best', u'places', u'eat', u'Phoenix', u'metro', u'area']"
166,"[u'So', u'don', u't', u'go', u'there', u'if', u'you', u'are', u'looking', u'for', u'good', u'food']",0,"[u'So', u'go', u'looking', u'good', u'food']"
167,"[u'I', u've', u'never', u'been', u'treated', u'so', u'bad']",0,"[u'I', u'never', u'treated', u'bad']"
168,"[u'Bacon', u'is', u'hella', u'salty']",1,"[u'Bacon', u'hella', u'salty']"
169,"[u'We', u'also', u'ordered', u'the', u'spinach', u'and', u'avocado', u'salad', u'the', u'ingredients', u'were', u'sad', u'and', u'the', u'dressing', u'literally', u'had', u'zero', u'taste']",0,"[u'We', u'also', u'ordered', u'spinach', u'avocado', u'salad', u'ingredients', u'sad', u'dressing', u'literally', u'zero', u'taste']"
170,"[u'This', u'really', u'is', u'how', u'Vegas', u'fine', u'dining', u'used', u'to', u'be', u'right', u'down', u'to', u'the', u'menus', u'handed', u'to', u'the', u'ladies', u'that', u'have', u'no', u'prices', u'listed']",1,"[u'This', u'really', u'Vegas', u'fine', u'dining', u'used', u'right', u'menus', u'handed', u'ladies', u'prices', u'listed']"
171,"[u'The', u'waitresses', u'are', u'very', u'friendly']",1,"[u'The', u'waitresses', u'friendly']"
172,"[u'Lordy', u'the', u'Khao', u'Soi', u'is', u'a', u'dish', u'that', u'is', u'not', u'to', u'be', u'missed', u'for', u'curry', u'lovers']",1,"[u'Lordy', u'Khao', u'Soi', u'dish', u'missed', u'curry', u'lovers']"
173,"[u'Everything', u'on', u'the', u'menu', u'is', u'terrific', u'and', u'we', u'were', u'also', u'thrilled', u'that', u'they', u'made', u'amazing', u'accommodations', u'for', u'our', u'vegetarian', u'daughter']",1,"[u'Everything', u'menu', u'terrific', u'also', u'thrilled', u'made', u'amazing', u'accommodations', u'vegetarian', u'daughter']"
174,"[u'Perhaps', u'I', u'caught', u'them', u'on', u'an', u'off', u'night', u'judging', u'by', u'the', u'other', u'reviews', u'but', u'I', u'm', u'not', u'inspired', u'to', u'go', u'back']",0,"[u'Perhaps', u'I', u'caught', u'night', u'judging', u'reviews', u'I', u'inspired', u'go', u'back']"
175,"[u'The', u'service', u'here', u'leaves', u'a', u'lot', u'to', u'be', u'desired']",0,"[u'The', u'service', u'leaves', u'lot', u'desired']"
176,"[u'The', u'atmosphere', u'is', u'modern', u'and', u'hip', u'while', u'maintaining', u'a', u'touch', u'of', u'coziness']",1,"[u'The', u'atmosphere', u'modern', u'hip', u'maintaining', u'touch', u'coziness']"
177,"[u'Not', u'a', u'weekly', u'haunt', u'but', u'definitely', u'a', u'place', u'to', u'come', u'back', u'to', u'every', u'once', u'in', u'a', u'while']",1,"[u'Not', u'weekly', u'haunt', u'definitely', u'place', u'come', u'back', u'every']"
178,"[u'We', u'literally', u'sat', u'there', u'for', u'20', u'minutes', u'with', u'no', u'one', u'asking', u'to', u'take', u'our', u'order']",0,"[u'We', u'literally', u'sat', u'20', u'minutes', u'one', u'asking', u'take', u'order']"
179,"[u'The', u'burger', u'had', u'absolutely', u'no', u'flavor', u'the', u'meat', u'itself', u'was', u'totally', u'bland', u'the', u'burger', u'was', u'overcooked', u'and', u'there', u'was', u'no', u'charcoal', u'flavor']",0,"[u'The', u'burger', u'absolutely', u'flavor', u'meat', u'totally', u'bland', u'burger', u'overcooked', u'charcoal', u'flavor']"
180,"[u'I', u'also', u'decided', u'not', u'to', u'send', u'it', u'back', u'because', u'our', u'waitress', u'looked', u'like', u'she', u'was', u'on', u'the', u'verge', u'of', u'having', u'a', u'heart', u'attack']",0,"[u'I', u'also', u'decided', u'send', u'back', u'waitress', u'looked', u'like', u'verge', u'heart', u'attack']"
181,"[u'I', u'dressed', u'up', u'to', u'be', u'treated', u'so', u'rudely']",0,"[u'I', u'dressed', u'treated', u'rudely']"
182,"[u'It', u'was', u'probably', u'dirt']",0,"[u'It', u'probably', u'dirt']"
183,"[u'Love', u'this', u'place', u'hits', u'the', u'spot', u'when', u'I', u'want', u'something', u'healthy', u'but', u'not', u'lacking', u'in', u'quantity', u'or', u'flavor']",1,"[u'Love', u'place', u'hits', u'spot', u'I', u'want', u'something', u'healthy', u'lacking', u'quantity', u'flavor']"
184,"[u'I', u'ordered', u'the', u'Lemon', u'raspberry', u'ice', u'cocktail', u'which', u'was', u'also', u'incredible']",1,"[u'I', u'ordered', u'Lemon', u'raspberry', u'ice', u'cocktail', u'also', u'incredible']"
185,"[u'The', u'food', u'sucked', u'which', u'we', u'expected', u'but', u'it', u'sucked', u'more', u'than', u'we', u'could', u'have', u'imagined']",0,"[u'The', u'food', u'sucked', u'expected', u'sucked', u'could', u'imagined']"
186,"[u'Interesting', u'decor']",1,"[u'Interesting', u'decor']"
187,"[u'What', u'I', u'really', u'like', u'there', u'is', u'the', u'crepe', u'station']",1,"[u'What', u'I', u'really', u'like', u'crepe', u'station']"
188,"[u'Also', u'were', u'served', u'hot', u'bread', u'and', u'butter', u'and', u'home', u'made', u'potato', u'chips', u'with', u'bacon', u'bits', u'on', u'top', u'very', u'original', u'and', u'very', u'good']",1,"[u'Also', u'served', u'hot', u'bread', u'butter', u'home', u'made', u'potato', u'chips', u'bacon', u'bits', u'top', u'original', u'good']"
189,"[u'you', u'can', u'watch', u'them', u'preparing', u'the', u'delicious', u'food']",1,"[u'watch', u'preparing', u'delicious', u'food']"
190,"[u'Both', u'of', u'the', u'egg', u'rolls', u'were', u'fantastic']",1,"[u'Both', u'egg', u'rolls', u'fantastic']"
191,"[u'When', u'my', u'order', u'arrived', u'one', u'of', u'the', u'gyros', u'was', u'missing']",0,"[u'When', u'order', u'arrived', u'one', u'gyros', u'missing']"
192,"[u'I', u'had', u'a', u'salad', u'with', u'the', u'wings', u'and', u'some', u'ice', u'cream', u'for', u'dessert', u'and', u'left', u'feeling', u'quite', u'satisfied']",1,"[u'I', u'salad', u'wings', u'ice', u'cream', u'dessert', u'left', u'feeling', u'quite', u'satisfied']"
193,"[u'I', u'm', u'not', u'really', u'sure', u'how', u'Joey', u's', u'was', u'voted', u'best', u'hot', u'dog', u'in', u'the', u'Valley', u'by', u'readers', u'of', u'Phoenix', u'Magazine']",0,"[u'I', u'really', u'sure', u'Joey', u'voted', u'best', u'hot', u'dog', u'Valley', u'readers', u'Phoenix', u'Magazine']"
194,"[u'The', u'best', u'place', u'to', u'go', u'for', u'a', u'tasty', u'bowl', u'of', u'Pho']",1,"[u'The', u'best', u'place', u'go', u'tasty', u'bowl', u'Pho']"
195,"[u'The', u'live', u'music', u'on', u'Fridays', u'totally', u'blows']",0,"[u'The', u'live', u'music', u'Fridays', u'totally', u'blows']"
196,"[u'I', u've', u'never', u'been', u'more', u'insulted', u'or', u'felt', u'disrespected']",0,"[u'I', u'never', u'insulted', u'felt', u'disrespected']"
197,"[u'Very', u'friendly', u'staff']",1,"[u'Very', u'friendly', u'staff']"
198,"[u'It', u'is', u'worth', u'the', u'drive']",1,"[u'It', u'worth', u'drive']"
199,"[u'I', u'had', u'heard', u'good', u'things', u'about', u'this', u'place', u'but', u'it', u'exceeding', u'every', u'hope', u'I', u'could', u'have', u'dreamed', u'of']",1,"[u'I', u'heard', u'good', u'things', u'place', u'exceeding', u'every', u'hope', u'I', u'could', u'dreamed']"
200,"[u'Food', u'was', u'great', u'and', u'so', u'was', u'the', u'serivce']",1,"[u'Food', u'great', u'serivce']"
201,"[u'The', u'warm', u'beer', u'didn', u't', u'help']",0,"[u'The', u'warm', u'beer', u'help']"
202,"[u'Great', u'brunch', u'spot']",1,"[u'Great', u'brunch', u'spot']"
203,"[u'Service', u'is', u'friendly', u'and', u'inviting']",1,"[u'Service', u'friendly', u'inviting']"
204,"[u'Very', u'good', u'lunch', u'spot']",1,"[u'Very', u'good', u'lunch', u'spot']"
205,"[u'I', u've', u'lived', u'here', u'since', u'1979', u'and', u'this', u'was', u'the', u'first', u'and', u'last', u'time', u'I', u've', u'stepped', u'foot', u'into', u'this', u'place']",0,"[u'I', u'lived', u'since', u'1979', u'first', u'last', u'time', u'I', u'stepped', u'foot', u'place']"
206,"[u'The', u'WORST', u'EXPERIENCE', u'EVER']",0,"[u'The', u'WORST', u'EXPERIENCE', u'EVER']"
207,"[u'Must', u'have', u'been', u'an', u'off', u'night', u'at', u'this', u'place']",0,"[u'Must', u'night', u'place']"
208,"[u'The', u'sides', u'are', u'delish', u'mixed', u'mushrooms', u'yukon', u'gold', u'puree', u'white', u'corn', u'beateous']",1,"[u'The', u'sides', u'delish', u'mixed', u'mushrooms', u'yukon', u'gold', u'puree', u'white', u'corn', u'beateous']"
209,"[u'If', u'that', u'bug', u'never', u'showed', u'up', u'I', u'would', u'have', u'given', u'a', u'4', u'for', u'sure', u'but', u'on', u'the', u'other', u'side', u'of', u'the', u'wall', u'where', u'this', u'bug', u'was', u'climbing', u'was', u'the', u'kitchen']",0,"[u'If', u'bug', u'never', u'showed', u'I', u'would', u'given', u'4', u'sure', u'side', u'wall', u'bug', u'climbing', u'kitchen']"
210,"[u'For', u'about', u'10', u'minutes', u'we', u'we', u're', u'waiting', u'for', u'her', u'salad', u'when', u'we', u'realized', u'that', u'it', u'wasn', u't', u'coming', u'any', u'time', u'soon']",0,"[u'For', u'10', u'minutes', u'waiting', u'salad', u'realized', u'coming', u'time', u'soon']"
211,"[u'My', u'friend', u'loved', u'the', u'salmon', u'tartar']",1,"[u'My', u'friend', u'loved', u'salmon', u'tartar']"
212,"[u'Won', u't', u'go', u'back']",0,"[u'Won', u'go', u'back']"
213,"[u'Extremely', u'Tasty']",1,"[u'Extremely', u'Tasty']"
214,"[u'Waitress', u'was', u'good', u'though']",1,"[u'Waitress', u'good', u'though']"
215,"[u'Soggy', u'and', u'not', u'good']",0,"[u'Soggy', u'good']"
216,"[u'The', u'Jamaican', u'mojitos', u'are', u'delicious']",1,"[u'The', u'Jamaican', u'mojitos', u'delicious']"
217,"[u'Which', u'are', u'small', u'and', u'not', u'worth', u'the', u'price']",0,"[u'Which', u'small', u'worth', u'price']"
218,"[u'the', u'food', u'is', u'rich', u'so', u'order', u'accordingly']",1,"[u'food', u'rich', u'order', u'accordingly']"
219,"[u'The', u'shower', u'area', u'is', u'outside', u'so', u'you', u'can', u'only', u'rinse', u'not', u'take', u'a', u'full', u'shower', u'unless', u'you', u'don', u't', u'mind', u'being', u'nude', u'for', u'everyone', u'to', u'see']",0,"[u'The', u'shower', u'area', u'outside', u'rinse', u'take', u'full', u'shower', u'unless', u'mind', u'nude', u'everyone', u'see']"
220,"[u'The', u'service', u'was', u'a', u'bit', u'lacking']",0,"[u'The', u'service', u'bit', u'lacking']"
221,"[u'Lobster', u'Bisque', u'Bussell', u'Sprouts', u'Risotto', u'Filet', u'ALL', u'needed', u'salt', u'and', u'pepper', u'and', u'of', u'course', u'there', u'is', u'none', u'at', u'the', u'tables']",0,"[u'Lobster', u'Bisque', u'Bussell', u'Sprouts', u'Risotto', u'Filet', u'ALL', u'needed', u'salt', u'pepper', u'course', u'none', u'tables']"
222,"[u'Hopefully', u'this', u'bodes', u'for', u'them', u'going', u'out', u'of', u'business', u'and', u'someone', u'who', u'can', u'cook', u'can', u'come', u'in']",0,"[u'Hopefully', u'bodes', u'going', u'business', u'someone', u'cook', u'come']"
223,"[u'It', u'was', u'either', u'too', u'cold', u'not', u'enough', u'flavor', u'or', u'just', u'bad']",0,"[u'It', u'either', u'cold', u'enough', u'flavor', u'bad']"
224,"[u'I', u'loved', u'the', u'bacon', u'wrapped', u'dates']",1,"[u'I', u'loved', u'bacon', u'wrapped', u'dates']"
225,"[u'This', u'is', u'an', u'unbelievable', u'BARGAIN']",1,"[u'This', u'unbelievable', u'BARGAIN']"
226,"[u'The', u'folks', u'at', u'Otto', u'always', u'make', u'us', u'feel', u'so', u'welcome', u'and', u'special']",1,"[u'The', u'folks', u'Otto', u'always', u'make', u'us', u'feel', u'welcome', u'special']"
227,"[u'As', u'for', u'the', u'mains', u'also', u'uninspired']",0,"[u'As', u'mains', u'also', u'uninspired']"
228,"[u'This', u'is', u'the', u'place', u'where', u'I', u'first', u'had', u'pho', u'and', u'it', u'was', u'amazing']",1,"[u'This', u'place', u'I', u'first', u'pho', u'amazing']"
229,"[u'This', u'wonderful', u'experience', u'made', u'this', u'place', u'a', u'must', u'stop', u'whenever', u'we', u'are', u'in', u'town', u'again']",1,"[u'This', u'wonderful', u'experience', u'made', u'place', u'must', u'stop', u'whenever', u'town']"
230,"[u'If', u'the', u'food', u'isn', u't', u'bad', u'enough', u'for', u'you', u'then', u'enjoy', u'dealing', u'with', u'the', u'world', u's', u'worst', u'annoying', u'drunk', u'people']",0,"[u'If', u'food', u'bad', u'enough', u'enjoy', u'dealing', u'world', u'worst', u'annoying', u'drunk', u'people']"
231,"[u'Very', u'very', u'fun', u'chef']",1,"[u'Very', u'fun', u'chef']"
232,"[u'Ordered', u'a', u'double', u'cheeseburger', u'got', u'a', u'single', u'patty', u'that', u'was', u'falling', u'apart', u'picture', u'uploaded', u'Yeah', u'still', u'sucks']",0,"[u'Ordered', u'double', u'cheeseburger', u'got', u'single', u'patty', u'falling', u'apart', u'picture', u'uploaded', u'Yeah', u'still', u'sucks']"
233,"[u'Great', u'place', u'to', u'have', u'a', u'couple', u'drinks', u'and', u'watch', u'any', u'and', u'all', u'sporting', u'events', u'as', u'the', u'walls', u'are', u'covered', u'with', u'TV', u's']",1,"[u'Great', u'place', u'couple', u'drinks', u'watch', u'sporting', u'events', u'walls', u'covered', u'TV']"
234,"[u'If', u'it', u'were', u'possible', u'to', u'give', u'them', u'zero', u'stars', u'they', u'd', u'have', u'it']",0,"[u'If', u'possible', u'give', u'zero', u'stars']"
235,"[u'The', u'descriptions', u'said', u'yum', u'yum', u'sauce', u'and', u'another', u'said', u'eel', u'sauce', u'yet', u'another', u'said', u'spicy', u'mayo', u'well', u'NONE', u'of', u'the', u'rolls', u'had', u'sauces', u'on', u'them']",0,"[u'The', u'descriptions', u'said', u'yum', u'yum', u'sauce', u'another', u'said', u'eel', u'sauce', u'yet', u'another', u'said', u'spicy', u'mayo', u'well', u'NONE', u'rolls', u'sauces']"
236,"[u'I', u'd', u'say', u'that', u'would', u'be', u'the', u'hardest', u'decision', u'Honestly', u'all', u'of', u'M', u's', u'dishes', u'taste', u'how', u'they', u'are', u'supposed', u'to', u'taste', u'amazing']",1,"[u'I', u'say', u'would', u'hardest', u'decision', u'Honestly', u'M', u'dishes', u'taste', u'supposed', u'taste', u'amazing']"
237,"[u'If', u'she', u'had', u'not', u'rolled', u'the', u'eyes', u'we', u'may', u'have', u'stayed', u'Not', u'sure', u'if', u'we', u'will', u'go', u'back', u'and', u'try', u'it', u'again']",0,"[u'If', u'rolled', u'eyes', u'may', u'stayed', u'Not', u'sure', u'go', u'back', u'try']"
238,"[u'Everyone', u'is', u'very', u'attentive', u'providing', u'excellent', u'customer', u'service']",1,"[u'Everyone', u'attentive', u'providing', u'excellent', u'customer', u'service']"
239,"[u'Horrible', u'don', u't', u'waste', u'your', u'time', u'and', u'money']",0,"[u'Horrible', u'waste', u'time', u'money']"
240,"[u'Now', u'this', u'dish', u'was', u'quite', u'flavourful']",1,"[u'Now', u'dish', u'quite', u'flavourful']"
241,"[u'By', u'this', u'time', u'our', u'side', u'of', u'the', u'restaurant', u'was', u'almost', u'empty', u'so', u'there', u'was', u'no', u'excuse']",0,"[u'By', u'time', u'side', u'restaurant', u'almost', u'empty', u'excuse']"
242,"[u'It', u'wasn', u't', u'busy', u'either', u'Also', u'the', u'building', u'was', u'FREEZING', u'cold']",0,"[u'It', u'busy', u'either', u'Also', u'building', u'FREEZING', u'cold']"
243,"[u'like', u'the', u'other', u'reviewer', u'said', u'you', u'couldn', u't', u'pay', u'me', u'to', u'eat', u'at', u'this', u'place', u'again']",0,"[u'like', u'reviewer', u'said', u'pay', u'eat', u'place']"
244,"[u'Drinks', u'took', u'close', u'to', u'30', u'minutes', u'to', u'come', u'out', u'at', u'one', u'point']",0,"[u'Drinks', u'took', u'close', u'30', u'minutes', u'come', u'one', u'point']"
245,"[u'Seriously', u'flavorful', u'delights', u'folks']",1,"[u'Seriously', u'flavorful', u'delights', u'folks']"
246,"[u'Much', u'better', u'than', u'the', u'other', u'AYCE', u'sushi', u'place', u'I', u'went', u'to', u'in', u'Vegas']",1,"[u'Much', u'better', u'AYCE', u'sushi', u'place', u'I', u'went', u'Vegas']"
247,"[u'The', u'lighting', u'is', u'just', u'dark', u'enough', u'to', u'set', u'the', u'mood']",1,"[u'The', u'lighting', u'dark', u'enough', u'set', u'mood']"
248,"[u'Based', u'on', u'the', u'sub', u'par', u'service', u'I', u'received', u'and', u'no', u'effort', u'to', u'show', u'their', u'gratitude', u'for', u'my', u'business', u'I', u'won', u't', u'be', u'going', u'back']",0,"[u'Based', u'sub', u'par', u'service', u'I', u'received', u'effort', u'show', u'gratitude', u'business', u'I', u'going', u'back']"
249,"[u'Owner', u's', u'are', u'really', u'great', u'people']",1,"[u'Owner', u'really', u'great', u'people']"
250,"[u'There', u'is', u'nothing', u'privileged', u'about', u'working', u'eating', u'there']",0,"[u'There', u'nothing', u'privileged', u'working', u'eating']"
251,"[u'The', u'Greek', u'dressing', u'was', u'very', u'creamy', u'and', u'flavorful']",1,"[u'The', u'Greek', u'dressing', u'creamy', u'flavorful']"
252,"[u'Overall', u'I', u'don', u't', u'think', u'that', u'I', u'would', u'take', u'my', u'parents', u'to', u'this', u'place', u'again', u'because', u'they', u'made', u'most', u'of', u'the', u'similar', u'complaints', u'that', u'I', u'silently', u'felt', u'too']",0,"[u'Overall', u'I', u'think', u'I', u'would', u'take', u'parents', u'place', u'made', u'similar', u'complaints', u'I', u'silently', u'felt']"
253,"[u'Now', u'the', u'pizza', u'itself', u'was', u'good', u'the', u'peanut', u'sauce', u'was', u'very', u'tasty']",1,"[u'Now', u'pizza', u'good', u'peanut', u'sauce', u'tasty']"
254,"[u'We', u'had', u'7', u'at', u'our', u'table', u'and', u'the', u'service', u'was', u'pretty', u'fast']",1,"[u'We', u'7', u'table', u'service', u'pretty', u'fast']"
255,"[u'Fantastic', u'service', u'here']",1,"[u'Fantastic', u'service']"
256,"[u'I', u'as', u'well', u'would', u've', u'given', u'godfathers', u'zero', u'stars', u'if', u'possible']",0,"[u'I', u'well', u'would', u'given', u'godfathers', u'zero', u'stars', u'possible']"
257,"[u'They', u'know', u'how', u'to', u'make', u'them', u'here']",1,"[u'They', u'know', u'make']"
258,"[u'very', u'tough', u'and', u'very', u'short', u'on', u'flavor']",0,"[u'tough', u'short', u'flavor']"
259,"[u'I', u'hope', u'this', u'place', u'sticks', u'around']",1,"[u'I', u'hope', u'place', u'sticks', u'around']"
260,"[u'I', u'have', u'been', u'in', u'more', u'than', u'a', u'few', u'bars', u'in', u'Vegas', u'and', u'do', u'not', u'ever', u'recall', u'being', u'charged', u'for', u'tap', u'water']",0,"[u'I', u'bars', u'Vegas', u'ever', u'recall', u'charged', u'tap', u'water']"
261,"[u'The', u'restaurant', u'atmosphere', u'was', u'exquisite']",1,"[u'The', u'restaurant', u'atmosphere', u'exquisite']"
262,"[u'Good', u'service', u'very', u'clean', u'and', u'inexpensive', u'to', u'boot']",1,"[u'Good', u'service', u'clean', u'inexpensive', u'boot']"
263,"[u'The', u'seafood', u'was', u'fresh', u'and', u'generous', u'in', u'portion']",1,"[u'The', u'seafood', u'fresh', u'generous', u'portion']"
264,"[u'Plus', u'it', u's', u'only', u'8', u'bucks']",1,"[u'Plus', u'8', u'bucks']"
265,"[u'The', u'service', u'was', u'not', u'up', u'to', u'par', u'either']",0,"[u'The', u'service', u'par', u'either']"
266,"[u'Thus', u'far', u'have', u'only', u'visited', u'twice', u'and', u'the', u'food', u'was', u'absolutely', u'delicious', u'each', u'time']",1,"[u'Thus', u'far', u'visited', u'twice', u'food', u'absolutely', u'delicious', u'time']"
267,"[u'Just', u'as', u'good', u'as', u'when', u'I', u'had', u'it', u'more', u'than', u'a', u'year', u'ago']",1,"[u'Just', u'good', u'I', u'year', u'ago']"
268,"[u'For', u'a', u'self', u'proclaimed', u'coffee', u'cafe', u'I', u'was', u'wildly', u'disappointed']",0,"[u'For', u'self', u'proclaimed', u'coffee', u'cafe', u'I', u'wildly', u'disappointed']"
269,"[u'The', u'Veggitarian', u'platter', u'is', u'out', u'of', u'this', u'world']",1,"[u'The', u'Veggitarian', u'platter', u'world']"
270,"[u'You', u'cant', u'go', u'wrong', u'with', u'any', u'of', u'the', u'food', u'here']",1,"[u'You', u'cant', u'go', u'wrong', u'food']"
271,"[u'You', u'can', u't', u'beat', u'that']",1,"[u'You', u'beat']"
272,"[u'Stopped', u'by', u'this', u'place', u'while', u'in', u'Madison', u'for', u'the', u'Ironman', u'very', u'friendly', u'kind', u'staff']",1,"[u'Stopped', u'place', u'Madison', u'Ironman', u'friendly', u'kind', u'staff']"
273,"[u'The', u'chefs', u'were', u'friendly', u'and', u'did', u'a', u'good', u'job']",1,"[u'The', u'chefs', u'friendly', u'good', u'job']"
274,"[u'I', u've', u'had', u'better', u'not', u'only', u'from', u'dedicated', u'boba', u'tea', u'spots', u'but', u'even', u'from', u'Jenni', u'Pho']",0,"[u'I', u'better', u'dedicated', u'boba', u'tea', u'spots', u'even', u'Jenni', u'Pho']"
275,"[u'I', u'liked', u'the', u'patio', u'and', u'the', u'service', u'was', u'outstanding']",1,"[u'I', u'liked', u'patio', u'service', u'outstanding']"
276,"[u'The', u'goat', u'taco', u'didn', u't', u'skimp', u'on', u'the', u'meat', u'and', u'wow', u'what', u'FLAVOR']",1,"[u'The', u'goat', u'taco', u'skimp', u'meat', u'wow', u'FLAVOR']"
277,"[u'I', u'think', u'not', u'again']",0,"[u'I', u'think']"
278,"[u'I', u'had', u'the', u'mac', u'salad', u'and', u'it', u'was', u'pretty', u'bland', u'so', u'I', u'will', u'not', u'be', u'getting', u'that', u'again']",0,"[u'I', u'mac', u'salad', u'pretty', u'bland', u'I', u'getting']"
279,"[u'I', u'went', u'to', u'Bachi', u'Burger', u'on', u'a', u'friend', u's', u'recommendation', u'and', u'was', u'not', u'disappointed']",1,"[u'I', u'went', u'Bachi', u'Burger', u'friend', u'recommendation', u'disappointed']"
280,"[u'Service', u'stinks', u'here']",0,"[u'Service', u'stinks']"
281,"[u'I', u'waited', u'and', u'waited']",0,"[u'I', u'waited', u'waited']"
282,"[u'This', u'place', u'is', u'not', u'quality', u'sushi', u'it', u'is', u'not', u'a', u'quality', u'restaurant']",0,"[u'This', u'place', u'quality', u'sushi', u'quality', u'restaurant']"
283,"[u'I', u'would', u'definitely', u'recommend', u'the', u'wings', u'as', u'well', u'as', u'the', u'pizza']",1,"[u'I', u'would', u'definitely', u'recommend', u'wings', u'well', u'pizza']"
284,"[u'Great', u'Pizza', u'and', u'Salads']",1,"[u'Great', u'Pizza', u'Salads']"
285,"[u'Things', u'that', u'went', u'wrong', u'They', u'burned', u'the', u'saganaki']",0,"[u'Things', u'went', u'wrong', u'They', u'burned', u'saganaki']"
286,"[u'We', u'waited', u'an', u'hour', u'for', u'what', u'was', u'a', u'breakfast', u'I', u'could', u'have', u'done', u'100', u'times', u'better', u'at', u'home']",0,"[u'We', u'waited', u'hour', u'breakfast', u'I', u'could', u'done', u'100', u'times', u'better', u'home']"
287,"[u'This', u'place', u'is', u'amazing']",1,"[u'This', u'place', u'amazing']"
